Specialist,DIAGNOSIS_CODE,ACTIVITY_CODE,ACTIVITY_COUNT_TOTAL,DIAGNOSIS_CODE_COUNT,ACTIVITY_COUNT_AVG,ACTIVITY_COUNT_STDEV,CareProfile_class_code
ALL,A1,039601,9,79,0.113924,0.1009454,4
ALL,A1,039602,40,79,0.5063291,0.2499599,6
ALL,A1,072602,1,79,0.01265823,0.012498,8
ALL,A1,072603,1,79,0.01265823,0.012498,8
ALL,A1,190011,11,79,0.1392405,0.1198526,1
ALL,A1,190013,15,79,0.1898734,0.1538215,1
ALL,A1,190014,1,79,0.01265823,0.012498,99
ALL,A1,190035,1,79,0.01265823,0.012498,2
ALL,A2,039602,13,13,1,0,6
ALL,A3,039601,2,31,0.06451613,0.0603538,4
ALL,A3,039602,21,31,0.6774194,0.2185224,6
ALL,A3,190011,3,31,0.09677419,0.08740895,1
ALL,A3,190013,4,31,0.1290323,0.1123829,1
ALL,A3,190014,1,31,0.03225806,0.03121748,99
ALL,A4,039601,3,33,0.09090909,0.08264463,4
ALL,A4,039602,13,33,0.3939394,0.2387511,6
ALL,A4,190011,4,33,0.1212121,0.1065197,1
ALL,A4,190012,1,33,0.03030303,0.02938476,1
ALL,A4,190013,8,33,0.2424242,0.1836547,1
ALL,A4,190014,3,33,0.09090909,0.08264463,99
ALL,A4,192850,1,33,0.03030303,0.02938476,12
ALL,B1,039601,6,81,0.07407407,0.0685871,4
ALL,B1,039602,28,81,0.345679,0.226185,6
ALL,B1,039839,4,81,0.04938272,0.04694406,4
ALL,B1,039846,1,81,0.01234568,0.01219326,4
ALL,B1,039932,2,81,0.02469136,0.02408169,4
ALL,B1,039933,3,81,0.03703704,0.0356653,4
ALL,B1,070402,1,81,0.01234568,0.01219326,8
ALL,B1,070419,1,81,0.01234568,0.01219326,8
ALL,B1,070489,1,81,0.01234568,0.01219326,8
ALL,B1,070702,1,81,0.01234568,0.01219326,8
ALL,B1,070703,1,81,0.01234568,0.01219326,8
ALL,B1,070715,1,81,0.01234568,0.01219326,8
ALL,B1,070718,1,81,0.01234568,0.01219326,8
ALL,B1,072417,1,81,0.01234568,0.01219326,8
ALL,B1,072573,1,81,0.01234568,0.01219326,8
ALL,B1,074110,1,81,0.01234568,0.01219326,8
ALL,B1,074891,1,81,0.01234568,0.01219326,8
ALL,B1,074896,1,81,0.01234568,0.01219326,8
ALL,B1,077121,1,81,0.01234568,0.01219326,8
ALL,B1,190011,10,81,0.1234568,0.1082152,1
ALL,B1,190013,11,81,0.1358025,0.1173602,1
ALL,B1,190014,2,81,0.02469136,0.02408169,99
ALL,B1,190035,1,81,0.01234568,0.01219326,2
ALL,B2,039601,2,27,0.07407407,0.0685871,4
ALL,B2,039602,15,27,0.5555556,0.2469136,6
ALL,B2,039839,1,27,0.03703704,0.0356653,4
ALL,B2,039932,1,27,0.03703704,0.0356653,4
ALL,B2,190011,2,27,0.07407407,0.0685871,1
ALL,B2,190013,6,27,0.2222222,0.1728395,1
ALL,B3,039061,6,97,0.06185567,0.05802955,4
ALL,B3,039601,7,97,0.07216495,0.06695717,4
ALL,B3,039602,33,97,0.3402062,0.2244659,6
ALL,B3,039839,5,97,0.05154639,0.04888936,4
ALL,B3,039932,5,97,0.05154639,0.04888936,4
ALL,B3,039933,4,97,0.04123711,0.03953661,4
